Maanlander {hoogte = 500.0, snelheid = 0.0, brandstof = 500.0, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 0.0}
Maanlander {hoogte = 486.67, snelheid = 13.33, brandstof = 509.63, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = -9.63}
Maanlander {hoogte = 473.34, snelheid = 13.33, brandstof = 505.93, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 460.01, snelheid = 13.33, brandstof = 502.23, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 446.68, snelheid = 13.33, brandstof = 498.53, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 433.35, snelheid = 13.33, brandstof = 494.83, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 420.02, snelheid = 13.33, brandstof = 491.13, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 406.69, snelheid = 13.33, brandstof = 487.43, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 393.36, snelheid = 13.33, brandstof = 483.73, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 380.03, snelheid = 13.33, brandstof = 480.03, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 366.7, snelheid = 13.33, brandstof = 476.33, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 353.37, snelheid = 13.33, brandstof = 472.63, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 340.04, snelheid = 13.33, brandstof = 468.93, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 326.71, snelheid = 13.33, brandstof = 465.23, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 313.38, snelheid = 13.33, brandstof = 461.53, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 300.05, snelheid = 13.33, brandstof = 457.83, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 286.72, snelheid = 13.33, brandstof = 454.13, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 276.72, snelheid = 10.0, brandstof = 447.1, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 7.03}
Maanlander {hoogte = 266.72, snelheid = 10.0, brandstof = 443.4, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 256.72, snelheid = 10.0, brandstof = 439.7, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 246.72, snelheid = 10.0, brandstof = 436.0, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 236.72, snelheid = 10.0, brandstof = 432.3, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 226.72, snelheid = 10.0, brandstof = 428.6, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 216.72, snelheid = 10.0, brandstof = 424.9, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
Maanlander {hoogte = 206.72, snelheid = 10.0, brandstof = 421.2, motorkracht = 66.0, maxSnelheid = 10.0, valversnelling = 3.7, gas = 3.7}
